word_id,root_id,link_index,target_identifier,target_type,target_id
7eee6b38-273d-4f6a-8ca1-1135a5c0f9bf,775ddff0-40ce-4374-a7e4-30edb50f338b,9,at-,prefix,e63cdbbb-8bfb-442b-b49a-bd01c7f68aff
7eee6b38-273d-4f6a-8ca1-1135a5c0f9bf,4d5312ac-272b-4281-adff-4094b8832611,1,ar-,prefix,775ddff0-40ce-4374-a7e4-30edb50f338b
20321abf-6c52-4f20-b584-665077cb0581,4d5312ac-272b-4281-adff-4094b8832611,1,ar-,prefix,775ddff0-40ce-4374-a7e4-30edb50f338b
3e02e135-28cd-4d89-8216-dd4fad2cafb2,313fe2aa-9acf-4e44-b215-3d94eac8de99,1,a-,prefix,eb2dab21-d31e-4dbd-bb90-255c046203a6
3e02e135-28cd-4d89-8216-dd4fad2cafb2,313fe2aa-9acf-4e44-b215-3d94eac8de99,2,ab-,prefix,1e4ea41c-ee64-4bce-aed5-5ba7b9bcccff
3e02e135-28cd-4d89-8216-dd4fad2cafb2,313fe2aa-9acf-4e44-b215-3d94eac8de99,3,ac-,prefix,313fe2aa-9acf-4e44-b215-3d94eac8de99
3e02e135-28cd-4d89-8216-dd4fad2cafb2,313fe2aa-9acf-4e44-b215-3d94eac8de99,4,ad-,prefix,01e572b5-9046-4ae6-82df-91bb22b151d2
3e02e135-28cd-4d89-8216-dd4fad2cafb2,313fe2aa-9acf-4e44-b215-3d94eac8de99,5,ap-,prefix,3015fc76-f4ec-4a6a-bc69-218e873a44f1
3e02e135-28cd-4d89-8216-dd4fad2cafb2,313fe2aa-9acf-4e44-b215-3d94eac8de99,6,as-,prefix,eb377bec-24c3-4c39-84d6-2c688a20059a
3e02e135-28cd-4d89-8216-dd4fad2cafb2,313fe2aa-9acf-4e44-b215-3d94eac8de99,7,at-,prefix,e63cdbbb-8bfb-442b-b49a-bd01c7f68aff
3c9140b3-d8c8-4dd7-8c73-7a1d9eb67d48,313fe2aa-9acf-4e44-b215-3d94eac8de99,1,a-,prefix,eb2dab21-d31e-4dbd-bb90-255c046203a6
3c9140b3-d8c8-4dd7-8c73-7a1d9eb67d48,313fe2aa-9acf-4e44-b215-3d94eac8de99,2,ab-,prefix,1e4ea41c-ee64-4bce-aed5-5ba7b9bcccff
3c9140b3-d8c8-4dd7-8c73-7a1d9eb67d48,313fe2aa-9acf-4e44-b215-3d94eac8de99,3,ac-,prefix,313fe2aa-9acf-4e44-b215-3d94eac8de99
3c9140b3-d8c8-4dd7-8c73-7a1d9eb67d48,313fe2aa-9acf-4e44-b215-3d94eac8de99,4,ad-,prefix,01e572b5-9046-4ae6-82df-91bb22b151d2
3c9140b3-d8c8-4dd7-8c73-7a1d9eb67d48,313fe2aa-9acf-4e44-b215-3d94eac8de99,5,ap-,prefix,3015fc76-f4ec-4a6a-bc69-218e873a44f1
3c9140b3-d8c8-4dd7-8c73-7a1d9eb67d48,313fe2aa-9acf-4e44-b215-3d94eac8de99,6,as-,prefix,eb377bec-24c3-4c39-84d6-2c688a20059a
3c9140b3-d8c8-4dd7-8c73-7a1d9eb67d48,313fe2aa-9acf-4e44-b215-3d94eac8de99,7,at-,prefix,e63cdbbb-8bfb-442b-b49a-bd01c7f68aff
f4e3f7a0-5902-4ce2-a010-4663b0af6b90,59011590-c7ce-446a-bdff-06ab88384fec,1,is,word,01153fb1-72e5-475f-b7ac-fd2ece01e98e
f4e3f7a0-5902-4ce2-a010-4663b0af6b90,59011590-c7ce-446a-bdff-06ab88384fec,2,in,word,84b42a02-b972-4109-ac42-7d04746f07c8
72cfda17-980d-453b-ada5-7f5f026cc6a1,c51a8e11-69c9-4469-b362-65f433a0d955,1,come,word,bed2da61-da50-4e6e-ad60-0caa543d62a8
0b29638b-5869-4466-8371-597540ff1186,01e572b5-9046-4ae6-82df-91bb22b151d2,1,at,word,9c2f1b32-39ad-4c43-8c8d-ae84d4272e3b
b73da79b-8309-44e7-9f67-92beac400c22,01e572b5-9046-4ae6-82df-91bb22b151d2,1,at,word,9c2f1b32-39ad-4c43-8c8d-ae84d4272e3b
a972c964-a2e4-43ea-b1e9-bfae0c2904ee,eb2dab21-d31e-4dbd-bb90-255c046203a6,1,on,word,3090e71f-ead1-49e6-8ef2-520fb888aaf2
2eb080a9-bc73-46b5-9cbf-5eeb238bd387,eabfcb69-f5cb-4776-9fe5-50322c63ee01,1,come,word,bed2da61-da50-4e6e-ad60-0caa543d62a8
231cfcab-e78e-458f-9f98-c39b82fca0f2,eabfcb69-f5cb-4776-9fe5-50322c63ee01,1,come,word,bed2da61-da50-4e6e-ad60-0caa543d62a8
890ae9d5-f16b-499f-b1a0-f06dfb765f50,98e6651d-8b5e-462a-adb2-dc5da6edb65c,1,come,word,bed2da61-da50-4e6e-ad60-0caa543d62a8
890ae9d5-f16b-499f-b1a0-f06dfb765f50,0cf41484-f807-4ed5-9307-282afeb2680e,1,try,word,c6f34070-157f-4643-b378-36d8ae16dd09
b78a2f42-08dc-4cf4-b97b-d6248a8ffe28,98e6651d-8b5e-462a-adb2-dc5da6edb65c,1,come,word,bed2da61-da50-4e6e-ad60-0caa543d62a8
b78a2f42-08dc-4cf4-b97b-d6248a8ffe28,0cf41484-f807-4ed5-9307-282afeb2680e,1,try,word,c6f34070-157f-4643-b378-36d8ae16dd09
55988bb6-475e-4899-b12f-27e8a6eb2078,98e6651d-8b5e-462a-adb2-dc5da6edb65c,1,come,word,bed2da61-da50-4e6e-ad60-0caa543d62a8
55988bb6-475e-4899-b12f-27e8a6eb2078,0cf41484-f807-4ed5-9307-282afeb2680e,1,try,word,c6f34070-157f-4643-b378-36d8ae16dd09
40860f0a-69d4-4d94-8f4f-55c1657f37aa,98e6651d-8b5e-462a-adb2-dc5da6edb65c,1,come,word,bed2da61-da50-4e6e-ad60-0caa543d62a8
