word_id,word_order,canonical_spelling,variants_json,entry_kind,source_roles,source_count,first_source_entry_id,homograph_sources
cet4-w-7de8c50c6f946d536170,104,admirable,[],word,listed_related,1,cet2016-p022-r27-c3,0
cet4-w-bef87b82e32c217096a0,105,admiration,[],word,listed_related,1,cet2016-p022-r27-c2,0
cet4-w-29ee784062f13fd44f42,106,admire,[],word,headword,1,cet2016-p022-r27-c1,0
cet4-w-3d9d3f4d63716d89da4e,107,admission,[],word,listed_related,1,cet2016-p022-r28-c2,0
cet4-w-7905547b4c80ee139e80,108,admit,[],word,headword,1,cet2016-p022-r28-c1,0
cet4-w-5c470c33e99ab3fbe53a,109,admittance,[],word,listed_related,1,cet2016-p022-r28-c3,0
cet4-w-3b7e41309708613fda45,110,admittedly,[],word,listed_related,1,cet2016-p022-r28-c4,0
cet4-w-e594ff5e95ec239dbedd,111,adopt,[],word,headword,1,cet2016-p022-r30-c1,0
cet4-w-6173b818a073ca33d313,112,adoption,[],word,listed_related,1,cet2016-p022-r30-c2,0
cet4-w-976ec6c3c634655b51ca,113,adult,[],word,headword,1,cet2016-p022-r32-c1,0
cet4-w-afaba24a71230fb313cd,114,adulthood,[],word,listed_related,1,cet2016-p022-r32-c2,0
cet4-w-9a5bf6b697d3a4612ad8,115,advance,[],word,headword,1,cet2016-p022-r33-c1,0
cet4-w-7d7b5cb0fd482530edf8,116,advanced,[],word,listed_related,1,cet2016-p022-r33-c3,0
cet4-w-59ed917fcb3700668e3d,117,advancement,[],word,listed_related,1,cet2016-p022-r33-c2,0
cet4-w-2c156f3c4527e4e2edab,118,advantage,[],word,headword,1,cet2016-p022-r34-c1,0
cet4-w-979341795d0eb537a232,119,advantageous,[],word,listed_related,1,cet2016-p022-r34-c2,0
cet4-w-4175a16ea1d2763efce0,120,adventure,[],word,headword,1,cet2016-p022-r36-c1,0
cet4-w-a82e1cc5a628eaaf39a2,121,adventurer,[],word,listed_related,1,cet2016-p022-r36-c2,0
cet4-w-01e950ac441cc4232030,122,adventurous,[],word,listed_related,1,cet2016-p022-r36-c3,0
cet4-w-cb23720950cec8a0717e,123,adverb,[],word,headword,1,cet2016-p022-r37-c1,0
cet4-w-2b53d6d596a94aab7358,124,advertise,[],word,headword,1,cet2016-p022-r40-c1,0
cet4-w-438d3f65382c41b03b15,125,advertisement,[],word,listed_related,1,cet2016-p022-r40-c2,0
cet4-w-1018a0539949f94604bd,126,advertising,[],word,listed_related,1,cet2016-p022-r40-c3,0
cet4-w-31464168a4e20e190caf,127,advice,[],word,headword,1,cet2016-p022-r41-c1,0
cet4-w-b14a7223a66a4be986cc,128,advisable,[],word,listed_related,1,cet2016-p022-r42-c4,0
cet4-w-dfacdd38e988155c0bb9,129,advise,[],word,headword,1,cet2016-p022-r42-c1,0
cet4-w-211094416f1ff22ea84a,130,advisor,"[""adviser""]",word,listed_related,1,cet2016-p022-r42-c2,0
cet4-w-d30b2492217a40d9bd08,131,advisory,[],word,listed_related,1,cet2016-p022-r42-c3,0
cet4-w-368c2c88f345d91626d9,132,advocacy,[],word,listed_related,1,cet2016-p023-r01-c2,0
cet4-w-d95035938f8c5b5efc85,133,advocate,[],word,headword,1,cet2016-p023-r01-c1,0
cet4-w-7daf933ef1e7c44bbc39,134,aerial,[],word,headword,1,cet2016-p023-r02-c1,0
cet4-w-3411c399a443eb0c2c39,135,affair,[],word,headword,1,cet2016-p023-r04-c1,0
cet4-w-be633f3beaca7dbb4b35,136,affect,[],word,headword,1,cet2016-p023-r05-c1,0
cet4-w-2b0394fab5af21678a68,137,affection,[],word,headword,1,cet2016-p023-r06-c1,0
cet4-w-9b7a6510e8e95a50590a,138,affectionate,[],word,listed_related,1,cet2016-p023-r06-c2,0
cet4-w-c9d31b7c1301fec90168,139,affluence,[],word,listed_related,1,cet2016-p023-r10-c2,0
cet4-w-2799d885f6e074f1938f,140,affluent,[],word,headword,1,cet2016-p023-r10-c1,0
cet4-w-607185ce10e7e8f817dc,141,afford,[],word,headword,1,cet2016-p023-r11-c1,0
cet4-w-afa4f241b338911cf139,142,affordability,[],word,listed_related,1,cet2016-p023-r11-c3,0
cet4-w-266baf20928a5f822bdb,143,affordable,[],word,listed_related,1,cet2016-p023-r11-c2,0
cet4-w-bcc73171d7284ddbed21,144,afraid,[],word,headword,1,cet2016-p023-r13-c1,0
cet4-w-6ad0b2b05252086404a8,145,after,[],word,headword,1,cet2016-p023-r14-c1,0
cet4-w-fbd9414580850975bc60,146,afternoon,[],word,headword,1,cet2016-p023-r16-c1,0
cet4-w-87da8d1254b2b8adff0f,147,afterward,"[""afterwards""]",word,headword,1,cet2016-p023-r17-c1,0
cet4-w-a5a7f55370c1ccdf1a9c,148,again,[],word,headword,1,cet2016-p023-r18-c1,0
cet4-w-dd9ddbde077c248d2ad9,149,against,[],word,headword,1,cet2016-p023-r19-c1,0
cet4-w-0ca0b488abbadcf6d000,150,age,[],word,headword,1,cet2016-p023-r20-c1,0
cet4-w-3b16e43a39094468b1ab,151,aged,[],word,listed_related,1,cet2016-p023-r20-c2,0
cet4-w-8ac5f01ee2a3a56cb08c,152,agency,[],word,listed_related,1,cet2016-p023-r22-c2,0
