word_id,canonical_spelling,source_entry_id,entry_role,source_homograph_number,normalization_kind
cet4-w-59002537a0ed8b6ffa51,scholarship,cet2016-p120-r11-c3,listed_related,,literal
cet4-w-f6a7c7fe13f3c6719037,scholastic,cet2016-p120-r11-c4,listed_related,,literal
cet4-w-1ba43eb5923ea79fd324,school,cet2016-p120-r12-c1,headword,,literal
cet4-w-ae070600afc484c4df96,schooling,cet2016-p120-r12-c2,listed_related,,literal
cet4-w-3911eee2f9a5598d6e07,science,cet2016-p120-r13-c1,headword,,literal
cet4-w-ad50ccd86971ea67b981,scientific,cet2016-p120-r13-c2,listed_related,,literal
cet4-w-807f6fd502507774e4a9,scientist,cet2016-p120-r13-c3,listed_related,,literal
cet4-w-1d172d436f27b3c56636,scissors,cet2016-p120-r14-c1,headword,,literal
cet4-w-7e35514392cbaff28547,scold,cet2016-p120-r15-c1,headword,,literal
cet4-w-98335d5d73fa8c2b3463,scope,cet2016-p120-r16-c1,headword,,literal
cet4-w-60c7a70285af2f318367,score,cet2016-p120-r17-c1,headword,,literal
cet4-w-4f6c7fffb9bc60062513,scout,cet2016-p120-r19-c1,headword,,literal
cet4-w-b5c0a95d751bc7f42bce,scratch,cet2016-p120-r23-c1,headword,,literal
cet4-w-09c86faf6620ea15533e,scream,cet2016-p120-r24-c1,headword,,literal
cet4-w-706f2bc736de5fe5b2c7,screen,cet2016-p120-r25-c1,headword,,literal
cet4-w-fb91ad2ace8ce283a3f9,screw,cet2016-p120-r26-c1,headword,,literal
cet4-w-44e94f212a8d1db23a7b,script,cet2016-p120-r27-c1,headword,,literal
cet4-w-6104d0c480a2a5668df3,scripture,cet2016-p120-r27-c2,listed_related,,literal
cet4-w-2682de7cf33694f08c28,sea,cet2016-p120-r31-c1,headword,,literal
cet4-w-007f9306cfd15fb73f88,seal,cet2016-p120-r32-c1,headword,,literal
cet4-w-142cea2c36e679c23999,search,cet2016-p120-r33-c1,headword,,literal
cet4-w-8ce6ef5f17798c51e63c,season,cet2016-p120-r34-c1,headword,,literal
cet4-w-34b664da0b248ff1e8a4,seasonal,cet2016-p120-r34-c2,listed_related,,literal
cet4-w-e592f637066eeeab732f,seat,cet2016-p120-r35-c1,headword,,literal
cet4-w-71f3c8167c926b1d6915,second,cet2016-p120-r36-c1,headword,1,literal
cet4-w-71f3c8167c926b1d6915,second,cet2016-p120-r37-c1,headword,2,literal
cet4-w-eda5f8514c6445693c04,secondary,cet2016-p120-r38-c1,headword,,literal
cet4-w-17c286176e072f66a750,second-hand,cet2016-p120-r39-c1,headword,,literal
cet4-w-cef8e310a5b04dd46b6a,secret,cet2016-p120-r40-c1,headword,,literal
cet4-w-28945fda4cdef2269af6,secrecy,cet2016-p120-r40-c2,listed_related,,literal
cet4-w-5c97f67e65a72511d8f6,secretive,cet2016-p120-r40-c3,listed_related,,literal
cet4-w-1ce6529000312ffd5e2a,secretary,cet2016-p120-r41-c1,headword,,literal
cet4-w-8748bf4d7d0b258849f6,secretarial,cet2016-p120-r41-c2,listed_related,,literal
cet4-w-52a4035624fb47042348,section,cet2016-p120-r42-c1,headword,,literal
cet4-w-83a5752dd9448db6aaa4,sector,cet2016-p121-r01-c1,headword,,literal
cet4-w-4e3fc976221b82c52ffd,secure,cet2016-p121-r03-c1,headword,,literal
cet4-w-5d41b1bd216815d44528,security,cet2016-p121-r03-c2,listed_related,,literal
cet4-w-a0f1e0b1efd0581a063d,see,cet2016-p121-r05-c1,headword,,literal
cet4-w-aed1a3af4f4a1bd78d90,seed,cet2016-p121-r06-c1,headword,,literal
cet4-w-2ef50fbf7bdc4b848fa0,seedling,cet2016-p121-r06-c2,listed_related,,literal
cet4-w-c097b11911dbd23477e9,seek,cet2016-p121-r07-c1,headword,,literal
cet4-w-873659e5280c238154e1,seem,cet2016-p121-r08-c1,headword,,literal
cet4-w-1bfcee0d4724a27a7b27,seeming,cet2016-p121-r08-c2,listed_related,,literal
